CELL_PARAMETERS angstrom
20.5103055801585690  0.0000000000000000  0.0947411230257034
0.0000000000000000  20.8609171474630628  0.0000000000000000
-3.6106018498087891  0.0000000000000000  20.8585173496099259

ATOMIC_POSITIONS angstrom
O    463511.3387279438902624  -178955.4407555891084485  178244.3290111416135915
O    463509.9753877725452185  -178954.6960717674228363  178242.8283905186690390
O    463511.8166084989206865  -178957.3723375372355804  178243.0338999538507778
O    463511.7804166441201232  -178952.4785825699509587  178242.6610603693115991
Zr    -512571.4562084836070426  129374.9653731541766319  236796.2457425185421016
Zr    -512572.0077586403349414  129374.2109303694160189  236797.7854101595003158
Zr    -512571.6212766557000577  129374.5757535106240539  236798.6218324470683001
Zr    -512572.5869720847695135  129373.6271137213188922  236798.6442055317165796
O    -512569.3682201224146411  129375.5753560735611245  236796.3164838060038164
O    -512571.1003470123396255  129373.7991874495201046  236797.0894469305349048
O    -512571.5417135089519434  129375.7681533863360528  236799.7163575765735004
O    -512570.8486230360576883  129373.6591061811486725  236797.9453464131802320
O    -512571.5873199080233462  129373.5042333713790867  236799.8430581224092748
O    -512571.8733834618469700  129375.2405696574714966  236797.4545834437885787
O    -512571.2502878952655010  129373.9897785898501752  236796.5295988484285772
O    -512572.6481734273256734  129374.3573067960096523  236797.7665487064223271
Zr    -465624.6382878926815465  -712231.6612378138815984  244633.5667714982409962
Zr    -465624.7135533214895986  -712233.0207340132910758  244633.3620963714784011
Zr    -465623.5678335575503297  -712232.6237108538625762  244632.8932650099159218
Zr    -465624.0254204328521155  -712233.3655616050818935  244632.8955785761645529
O    -465622.3470888900337741  -712232.5920736328698695  244634.1441139762755483
O    -465622.4074233479332179  -712234.8326577713014558  244633.1974705856700893
O    -465622.6275483276695013  -712232.3378507661400363  244632.8263756892993115
O    -465624.3651756216422655  -712232.0363139602122828  244633.3648837234650273
O    -465624.3231506598531269  -712232.2022322170669213  244632.9946945208939724
O    -465624.4993264629156329  -712231.1116276293760166  244633.7322774087078869
O    -465623.6363619702169672  -712233.5754664815030992  244632.9304350971651729
O    -465626.6989045157679357  -712234.1004085732856765  244633.1595815146283712
Zr    -1000737.7075325532350689  262403.6767393534537405  382338.1776271374546923
Zr    -1000736.3837367546511814  262404.3762093886034563  382339.6583607988432050
Zr    -1000736.9344464583555236  262403.9595868703327142  382339.5037896408466622
Zr    -1000736.6019351964350790  262403.5598006050568074  382339.1577621902106330
O    -1000736.1384909099433571  262405.6424628205131739  382336.4341611591516994
O    -1000734.9750892299925908  262401.8092639211681671  382336.9477189243771136
O    -1000737.6445697569288313  262403.0354092573397793  382338.7044014852144755
O    -1000736.6024027689127252  262404.5577503029489890  382339.4340241460013203
O    -1000735.5027939093997702  262403.0409665876650251  382339.4103209063760005
O    -1000737.6829526801593602  262404.3963836324401200  382339.2689861184917390
O    -1000739.2071677473140880  262405.4119844313827343  382340.1518656536354683
O    -1000738.6418876992538571  262401.1013431076426059  382342.1015080322977155
Zr    -644222.1057954030111432  227885.6283027903118636  -181982.7953121892351191
Zr    -644222.3998892521485686  227883.0055009008210618  -181982.2824280950298999
Zr    -644220.8042377592064440  227884.2986755231395364  -181982.5849716815282591
Zr    -644221.1567809329135343  227882.1593025046749972  -181982.5272974796534982
O    -644221.8915020580170676  227882.9118870447564404  -181982.7524020818818826
O    -644222.4126852930057794  227884.1855862179654650  -181980.9123462397255935
O    -644221.6655034141149372  227884.0796657937462442  -181982.2609467837901320
O    -644222.6872477883007377  227885.2758069763658568  -181983.0128991047677118
O    -644221.3190893692662939  227884.4673968626011629  -181983.5047720938746352
O    -644220.4109783640597016  227884.1275189195002895  -181983.3925522750650998
O    -644223.2930562377441674  227885.5574267022020649  -181981.5960852000571322
O    -644222.0198054402135313  227882.9437997434579302  -181982.7651923738594633
Zr    254676.2904832004860509  -178695.6461382603447419  759242.6125671685440466
Zr    254675.0525932631862815  -178695.4942594893218484  759242.8468053679680452
Zr    254676.5020242617174517  -178696.7341703548736405  759243.1331592425704002
Zr    254674.4140377897128928  -178696.8731013991346117  759244.1790989828296006
O    254675.3289119865803514  -178696.7504154140769970  759242.1606938844779506
O    254676.1231416391383391  -178697.3348536121775396  759243.1046129243914038
O    254673.8133526284364052  -178695.5754898528102785  759245.0755574731156230
O    254674.9574017243576236  -178697.9684297023050021  759242.9430108595406637
O    254674.7553629393223673  -178697.0551111943495926  759243.7154738270910457
O    254674.9720077521633357  -178696.4031345585244708  759243.2878797729499638
O    254674.9412049406964798  -178696.4395109080651309  759241.6974599271779880
O    254673.1171542991069146  -178696.4349752980924677  759243.1685610467102379
Zr    1234854.9721127948723733  -297377.7776646665879525  47111.0743818644477869
Zr    1234853.5298021011985838  -297378.3059625217574649  47110.4648103689542040
Zr    1234854.1108685513027012  -297379.5377158469054848  47110.3373454442189541
Zr    1234856.3378845213446766  -297379.4763627034844831  47111.7829252171286498
O    1234854.2512450872454792  -297380.6060078018927015  47110.9851818640818237
O    1234854.6172022195532918  -297379.7264309753081761  47109.4913691327164997
O    1234854.8029925443697721  -297377.9896773243672214  47111.4511818830214906
O    1234855.4349094768986106  -297376.9898605630733073  47109.9445763756593806
O    1234854.5187782300636172  -297378.5708347873878665  47111.4410773106937995
O    1234854.9438811787404120  -297378.6003567652660422  47109.8634710242913570
O    1234854.7992349585983902  -297379.2637867591693066  47108.8465426261391258
O    1234855.1163582431618124  -297377.4805756671703421  47111.1304541509161936
Zr    94982.2326950812712312  143826.7733729698811658  -562021.5634032388916239
Zr    94981.9870429861330194  143826.3484442559129093  -562020.4995210473425686
Zr    94983.1754119430843275  143827.0853397928876802  -562020.0780368963023648
Zr    94981.9868957336875610  143826.5636273659183644  -562020.5287724933587015
O    94982.4721211845171638  143826.3130930514016654  -562020.1419825508492067
O    94983.3274419905210380  143825.3716357388766482  -562021.1124440926359966
O    94982.0354890062008053  143825.8723574231262319  -562021.5976757385069504
O    94981.7239601071196375  143827.5266021350689698  -562020.6118124870117754
O    94982.8694778848584974  143826.7956482767185662  -562022.0795824385713786
O    94982.8612290551827755  143825.8248883216292597  -562020.1239004132803530
O    94981.3319601530383807  143828.3146040335414000  -562020.2066306056221947
O    94982.1583542690495960  143826.1984732280252501  -562019.1466757368762046
Zr    -175315.9105382408597507  -1131638.3081469081807882  566981.0365952113643289
Zr    -175315.2765698498697020  -1131638.7392121746670455  566981.1178964703576639
Zr    -175316.2554751633724663  -1131639.2842956804670393  566981.2894937469391152
